cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-rr1024,bare,process,250,10,4,12500,rr1024,2,1871750,0.2671,19.0,32.7,0,0.0
proc-rr1024,log,process,250,10,4,12500,rr1024,2,545277,0.9170,66.1,130.4,0,0.0
proc-rr1024,b0,process,250,10,4,12500,rr1024,2,727198,0.6876,49.0,95.6,0,0.0
proc-rr1024,b1,process,250,10,4,12500,rr1024,2,831259,0.6015,44.1,80.3,0,0.0
proc-rr1024,b0d,process,250,10,4,12500,rr1024,2,1305230,0.3831,26.5,54.8,0,0.0
proc-rr1024,b0dth,process,250,10,4,12500,rr1024,2,1318195,0.3793,27.0,44.2,0,0.0
proc-hot1,bare,process,250,10,1,50000,hot1,0,738266,0.6773,11.7,24.0,0,0.0
proc-hot1,log,process,250,10,1,50000,hot1,0,266422,1.8767,34.1,64.1,0,0.0
proc-hot1,b0,process,250,10,1,50000,hot1,0,365949,1.3663,25.2,41.9,0,0.0
proc-hot1,b1,process,250,10,1,50000,hot1,0,365397,1.3684,25.5,44.2,0,0.0
proc-hot1,b0d,process,250,10,1,50000,hot1,0,548685,0.9113,16.7,31.0,0,0.0
proc-hot1,b0dth,process,250,10,1,50000,hot1,0,684858,0.7301,12.3,23.3,0,0.0
proc-hot1,b0dth,process,250,10,1,50000,hot1,1,704805,0.7094,11.5,23.5,0,0.0
proc-hot1,b0d,process,250,10,1,50000,hot1,1,596117,0.8388,14.9,27.8,0,0.0
proc-hot1,b1,process,250,10,1,50000,hot1,1,364852,1.3704,25.5,45.5,0,0.0
proc-hot1,b0,process,250,10,1,50000,hot1,1,368561,1.3566,25.3,40.9,0,0.0
proc-hot1,log,process,250,10,1,50000,hot1,1,251560,1.9876,37.3,66.7,0,0.0
proc-hot1,bare,process,250,10,1,50000,hot1,1,751087,0.6657,11.4,22.4,0,0.0
proc-hot1,bare,process,250,10,1,50000,hot1,2,766020,0.6527,11.6,22.5,0,0.0
proc-hot1,log,process,250,10,1,50000,hot1,2,280977,1.7795,32.5,60.0,0,0.0
proc-hot1,b0,process,250,10,1,50000,hot1,2,355250,1.4075,25.7,44.7,0,0.0
proc-hot1,b1,process,250,10,1,50000,hot1,2,378434,1.3212,24.6,43.5,0,0.0
proc-hot1,b0d,process,250,10,1,50000,hot1,2,599594,0.8339,14.8,29.1,0,0.0
proc-hot1,b0dth,process,250,10,1,50000,hot1,2,713061,0.7012,11.4,22.2,0,0.0
group-64w-b10,b0,group,250,10,64,100,perwriter,0,166858,0.3836,3366.1,6511.5,100,3236.1
group-64w-b10,b1,group,250,10,64,100,perwriter,0,178079,0.3594,3266.2,12106.9,100,3002.1
group-64w-b10,b0d,group,250,10,64,100,perwriter,0,191304,0.3345,3199.9,6405.8,101,2775.4
group-64w-b10,b0d,group,250,10,64,100,perwriter,1,197656,0.3238,3220.8,3801.4,100,2707.1
group-64w-b10,b1,group,250,10,64,100,perwriter,1,196257,0.3261,3234.0,3570.5,100,2677.0
group-64w-b10,b0,group,250,10,64,100,perwriter,1,194149,0.3296,3274.1,3501.5,100,2705.1
